"Year","Commodity","Supply and disposition","VALUE"
"1960","Distilled spirits","Domestic disappearance","67.04"
"1960","Wines","Total disposition",
"1960","Wines","Domestic disappearance","37.74"
"1960","Soft drinks","Total disposition",
"1960","Cheddar cheese","Total supply","73.89"
"1960","Cheddar cheese","Beginning stocks","23.83"
"1960","Cheddar cheese","Production","50.06"
"1960","Cheddar cheese","Total disposition","48.59"
"1960","Cheddar cheese","Domestic disappearance","22.94"
"1960","Cheddar cheese","Exports","8.42"
"1960","Cheddar cheese","Manufacturing","17.23"
"1960","Cheddar cheese","Ending stocks","25.30"
"1960","Processed cheese","Total supply","26.89"
"1960","Processed cheese","Beginning stocks","1.62"
"1960","Processed cheese","Production","25.27"
"1960","Processed cheese","Total disposition","25.11"
"1960","Processed cheese","Domestic disappearance","25.03"
"1960","Processed cheese","Exports","0.08"
"1960","Processed cheese","Ending stocks","1.78"
"1960","Variety cheese","Total supply","13.04"
"1960","Variety cheese","Beginning stocks","1.46"
"1960","Variety cheese","Production","5.61"
"1960","Variety cheese","Imports","5.97"
"1960","Variety cheese","Total disposition","11.06"
"1960","Variety cheese","Domestic disappearance","10.33"
"1960","Variety cheese","Exports","0.02"
"1960","Variety cheese","Manufacturing","0.71"
"1960","Variety cheese","Ending stocks","1.98"
"1960","Cottage cheese","Total supply","10.13"
"1960","Cottage cheese","Production","10.13"
"1960","Cottage cheese","Total disposition","10.13"
"1960","Cottage cheese","Domestic disappearance","10.13"
"1960","Powder skim milk","Total supply","87.95"
"1960","Powder skim milk","Beginning stocks","9.95"
"1960","Powder skim milk","Production","78.00"
"1960","Powder skim milk","Total disposition","77.42"
"1960","Powder skim milk","Domestic disappearance","55.65"
"1960","Powder skim milk","Exports","21.77"
"1960","Powder skim milk","Ending stocks","10.53"
"1960","Powder buttermilk","Total supply","4.02"
"1960","Powder buttermilk","Beginning stocks","0.31"
"1960","Powder buttermilk","Production","3.71"
"1960","Powder buttermilk","Total disposition","3.51"
"1960","Powder buttermilk","Domestic disappearance","3.51"
"1960","Powder buttermilk","Ending stocks","0.51"
"1960","Powder whey","Total supply","7.14"
"1960","Powder whey","Beginning stocks","2.13"
"1960","Powder whey","Production","5.01"
"1960","Powder whey","Total disposition","5.49"
"1960","Powder whey","Domestic disappearance","5.49"
"1960","Powder whey","Ending stocks","1.65"
"1960","Other whole milk products","Total disposition",
"1960","Concentrated whole milk","Total supply","153.70"
"1960","Concentrated whole milk","Beginning stocks","18.96"
"1960","Concentrated whole milk","Production","134.74"
"1960","Concentrated whole milk","Total disposition","134.38"
"1960","Concentrated whole milk","Domestic disappearance","132.99"
"1960","Concentrated whole milk","Exports","1.39"
"1960","Concentrated whole milk","Ending stocks","19.32"
"1960","Sweetened concentrated whole milk","Total supply","6.44"
"1960","Sweetened concentrated whole milk","Beginning stocks","0.31"
"1960","Sweetened concentrated whole milk","Production","6.13"
"1960","Sweetened concentrated whole milk","Total disposition","6.07"
"1960","Sweetened concentrated whole milk","Domestic disappearance","6.07"
"1960","Sweetened concentrated whole milk","Ending stocks","0.37"
"1960","Concentrated skim milk","Total supply","1.21"
"1960","Concentrated skim milk","Beginning stocks","0.04"
"1960","Concentrated skim milk","Production","1.17"
"1960","Concentrated skim milk","Total disposition","1.17"
"1960","Concentrated skim milk","Domestic disappearance","1.17"
"1960","Concentrated skim milk","Ending stocks","0.04"
"1960","Sweetened concentrated skim milk","Beginning stocks","0.04"
"1960","Sweetened concentrated skim milk","Total disposition",
"1960","Sweetened concentrated skim milk","Ending stocks","0.06"
"1960","Milkshake","Total disposition",
"1960","Ice cream","Total supply","187.43"
"1960","Ice cream","Production","187.43"
"1960","Ice cream","Total disposition","187.43"
"1960","Ice cream","Domestic disappearance","187.43"
"1960","Sherbet","Total disposition",
"1960","Ice milk","Total disposition",
"1960","Standard milk 3.25%","Total supply","1303.44"
"1960","Standard milk 3.25%","Production","1303.44"
"1960","Standard milk 3.25%","Total disposition","1303.44"
"1960","Standard milk 3.25%","Domestic disappearance","1303.44"
"1960","Buttermilk","Total disposition",
"1960","Partly skimmed milk 2%","Total disposition",
"1960","Partly skimmed milk 1%","Total disposition",
"1960","Skim milk","Total supply","62.08"
"1960","Skim milk","Production","62.08"
"1960","Skim milk","Total disposition","62.08"
"1960","Skim milk","Domestic disappearance","62.08"
"1960","Chocolate and other flavoured milk","Total supply","38.70"
"1960","Chocolate and other flavoured milk","Production","38.70"
"1960","Chocolate and other flavoured milk","Total disposition","38.70"
"1960","Chocolate and other flavoured milk","Domestic disappearance","38.70"
"1960","Cereal cream 10%","Total disposition",
"1960","Table cream 18%","Total disposition",
"1960","Whipping cream 32% or 35%","Total disposition",
"1960","Sour cream","Total disposition",
"1960","Yogurt","Total supply","0.69"
"1960","Yogurt","Production","0.69"
"1960","Yogurt","Total disposition","0.69"
"1960","Yogurt","Domestic disappearance","0.69"
"1960","Chicken","Total disposition",
"1960","Stewing hen","Total disposition",
"1960","Chicken and stewing hen total","Total disposition",
"1960","Turkey","Total supply","56.30"
"1960","Turkey","Beginning stocks","5.35"
"1960","Turkey","Production","48.83"
"1960","Turkey","Imports","2.12"
"1960","Turkey","Total disposition",
"1960","Turkey","Domestic disappearance","51.50"
"1960","Turkey","Ending stocks","4.80"
"1960","Eggs","Total supply","301.69"
"1960","Eggs","Beginning stocks","4.10"
"1960","Eggs","Production","296.39"
"1960","Eggs","Imports","1.21"
"1960","Eggs","Total disposition","297.59"
"1960","Eggs","Domestic disappearance","279.89"
"1960","Eggs","Exports","7.42"
"1960","Eggs","Manufacturing","10.28"
"1960","Eggs","Ending stocks","4.10"
"1960","Pork","Total supply","574.73"
"1960","Pork","Beginning stocks","25.65"
"1960","Pork","Production","541.05"
"1960","Pork","Imports","8.03"
"1960","Pork","Total disposition","565.14"
"1960","Pork","Domestic disappearance","463.48"
"1960","Pork","Exports","30.70"
"1960","Pork","Manufacturing","27.68"
"1960","Pork","Waste","43.28"
"1960","Pork","Ending stocks","9.59"
"1960","Beef","Total supply","601.14"
"1960","Beef","Beginning stocks","12.68"
"1960","Beef","Production","574.37"
"1960","Beef","Imports","14.09"
"1960","Beef","Total disposition","587.89"
"1960","Beef","Domestic disappearance","567.00"
"1960","Beef","Exports","11.77"
"1960","Beef","Manufacturing","9.12"
"1960","Beef","Ending stocks","13.25"
"1960","Veal","Total supply","58.55"
"1960","Veal","Beginning stocks","1.78"
"1960","Veal","Production","56.77"
"1960","Veal","Total disposition","56.30"
"1960","Veal","Domestic disappearance","55.87"
"1960","Veal","Manufacturing","0.43"
"1960","Veal","Ending stocks","2.25"
"1960","Beef and veal total","Total supply","659.69"
"1960","Beef and veal total","Beginning stocks","14.46"
"1960","Beef and veal total","Production","631.14"
"1960","Beef and veal total","Total disposition","644.18"
"1960","Beef and veal total","Domestic disappearance","622.86"
"1960","Beef and veal total","Manufacturing","9.55"
"1960","Beef and veal total","Ending stocks","15.51"
"1960","Mutton and lamb","Total supply","27.75"
"1960","Mutton and lamb","Beginning stocks","2.76"
"1960","Mutton and lamb","Production","14.32"
"1960","Mutton and lamb","Imports","10.67"
"1960","Mutton and lamb","Total disposition","24.20"
"1960","Mutton and lamb","Domestic disappearance","23.79"
"1960","Mutton and lamb","Exports","0.05"
"1960","Mutton and lamb","Manufacturing","0.37"
"1960","Mutton and lamb","Ending stocks","3.55"
"1960","Offal","Total supply","48.16"
"1960","Offal","Beginning stocks","2.38"
"1960","Offal","Production","43.48"
"1960","Offal","Imports","2.30"
"1960","Offal","Total disposition","45.87"
"1960","Offal","Domestic disappearance","38.56"
"1960","Offal","Exports","6.55"
"1960","Offal","Manufacturing","0.76"
"1960","Offal","Ending stocks","2.29"
"1960","Butter","Total supply","193.30"
"1960","Butter","Beginning stocks","47.97"
"1960","Butter","Production","145.33"
"1960","Butter","Total disposition","132.85"
"1960","Butter","Domestic disappearance","131.48"
"1960","Butter","Exports","1.37"
"1960","Butter","Ending stocks","60.45"
"1960","Margarine","Total supply","76.80"
"1960","Margarine","Beginning stocks","1.21"
"1960","Margarine","Production","75.59"
"1960","Margarine","Domestic disappearance","75.65"
"1960","Margarine","Ending stocks","1.15"
"1960","Salad oils","Total supply","26.97"
"1960","Salad oils","Beginning stocks","1.00"
"1960","Salad oils","Production","25.97"
"1960","Salad oils","Total disposition","25.60"
"1960","Salad oils","Domestic disappearance","25.52"
"1960","Salad oils","Exports","0.08"
"1960","Salad oils","Ending stocks","1.37"
"1960","Shortening and shortening oils","Total supply","79.99"
"1960","Shortening and shortening oils","Beginning stocks","5.41"
"1960","Shortening and shortening oils","Production","74.58"
"1960","Shortening and shortening oils","Total disposition","75.74"
"1960","Shortening and shortening oils","Domestic disappearance","75.74"
"1960","Shortening and shortening oils","Ending stocks","4.25"
"1960","Apples fresh","Total supply","434.81"
"1960","Apples fresh","Beginning stocks","106.90"
"1960","Apples fresh","Production","304.43"
"1960","Apples fresh","Imports","23.48"
"1960","Apples fresh","Total disposition","336.28"
"1960","Apples fresh","Domestic disappearance","156.05"
"1960","Apples fresh","Exports","49.77"
"1960","Apples fresh","Manufacturing","118.71"
"1960","Apples fresh","Waste","11.75"
"1960","Apples fresh","Ending stocks","98.53"
"1960","Apples canned","Total supply","10.06"
"1960","Apples canned","Beginning stocks","4.33"
"1960","Apples canned","Production","5.73"
"1960","Apples canned","Domestic disappearance","4.79"
"1960","Apples canned","Exports","0.41"
"1960","Apples canned","Ending stocks","4.86"
"1960","Apples dried","Total supply","0.54"
"1960","Apples dried","Imports","0.54"
"1960","Apples dried","Total disposition","0.54"
"1960","Apples dried","Domestic disappearance","0.54"
"1960","Apples frozen","Total supply","2.24"
"1960","Apples frozen","Beginning stocks","1.22"
"1960","Apples frozen","Production","1.02"
"1960","Apples frozen","Total disposition","1.21"
"1960","Apples frozen","Domestic disappearance","1.03"
"1960","Apples frozen","Ending stocks","1.21"
"1960","Apple juice","Total supply","62.32"
"1960","Apple juice","Beginning stocks","28.57"
"1960","Apple juice","Production","33.75"
"1960","Apple juice","Total disposition","23.78"
"1960","Apple juice","Domestic disappearance","38.54"
"1960","Apple juice","Exports","1.29"
"1960","Apple juice","Ending stocks","22.49"
"1960","Apple pie filling","Total supply","7.57"
"1960","Apple pie filling","Beginning stocks","2.55"
"1960","Apple pie filling","Production","5.02"
"1960","Apple pie filling","Total disposition","3.56"
"1960","Apple pie filling","Domestic disappearance","4.01"
"1960","Apple pie filling","Ending stocks","3.56"
"1960","Apple sauce","Total supply","11.37"
"1960","Apple sauce","Beginning stocks","6.37"
"1960","Apple sauce","Production","5.00"
"1960","Apple sauce","Total disposition","6.70"
"1960","Apple sauce","Domestic disappearance","6.70"
"1960","Apple sauce","Ending stocks","4.67"
"1960","Apricots fresh","Total supply","7.93"
"1960","Apricots fresh","Production","6.93"
"1960","Apricots fresh","Imports","1.00"
"1960","Apricots fresh","Total disposition","7.93"
"1960","Apricots fresh","Domestic disappearance","3.70"
"1960","Apricots fresh","Manufacturing","3.86"
"1960","Apricots fresh","Waste","0.37"
"1960","Apricots canned","Total supply","6.97"
"1960","Apricots canned","Beginning stocks","2.55"
"1960","Apricots canned","Production","2.33"
"1960","Apricots canned","Imports","2.09"
"1960","Apricots canned","Total disposition","4.44"
"1960","Apricots canned","Domestic disappearance","4.44"
"1960","Apricots canned","Ending stocks","2.53"
"1960","Avocados fresh","Total disposition","0.00"
"1960","Bananas fresh","Total supply","171.67"
"1960","Bananas fresh","Imports","171.67"
"1960","Bananas fresh","Domestic disappearance","171.33"
"1960","Bananas fresh","Waste","0.34"
"1960","Berries other fresh","Total disposition","0.00"
"1960","Blueberries fresh","Total supply","8.85"
"1960","Blueberries fresh","Production","8.85"
"1960","Blueberries fresh","Total disposition","8.85"
"1960","Blueberries fresh","Domestic disappearance","2.60"
"1960","Blueberries fresh","Exports","3.72"
"1960","Blueberries fresh","Manufacturing","2.45"
"1960","Blueberries fresh","Waste","0.08"
"1960","Blueberries canned","Total supply","1.03"
"1960","Blueberries canned","Beginning stocks","0.66"
"1960","Blueberries canned","Production","0.37"
"1960","Blueberries canned","Total disposition","0.48"
"1960","Blueberries canned","Domestic disappearance","0.48"
"1960","Blueberries canned","Ending stocks","0.55"
"1960","Blueberries frozen","Total supply","3.57"
"1960","Blueberries frozen","Beginning stocks","2.16"
"1960","Blueberries frozen","Production","1.41"
"1960","Blueberries frozen","Total disposition",
"1960","Blueberries frozen","Exports","2.49"
"1960","Blueberries frozen","Ending stocks","1.52"
"1960","Cherries fresh","Total supply","11.38"
"1960","Cherries fresh","Production","10.33"
"1960","Cherries fresh","Imports","1.05"
"1960","Cherries fresh","Total disposition","11.38"
"1960","Cherries fresh","Domestic disappearance","4.53"
"1960","Cherries fresh","Manufacturing","6.45"
"1960","Cherries fresh","Waste","0.40"
"1960","Cherries frozen","Total supply","5.21"
"1960","Cherries frozen","Beginning stocks","1.59"
"1960","Cherries frozen","Production","1.37"
"1960","Cherries frozen","Imports","2.25"
"1960","Cherries frozen","Total disposition","4.01"
"1960","Cherries frozen","Domestic disappearance","4.01"
"1960","Cherries frozen","Ending stocks","1.20"
"1960","Coconut fresh","Total supply","5.35"
"1960","Coconut fresh","Imports","5.35"
"1960","Coconut fresh","Total disposition","5.35"
"1960","Coconut fresh","Domestic disappearance","5.35"
"1960","Cranberries fresh","Total supply","2.11"
"1960","Cranberries fresh","Production","0.25"
"1960","Cranberries fresh","Imports","1.86"
"1960","Cranberries fresh","Total disposition","2.11"
"1960","Cranberries fresh","Domestic disappearance","2.03"
"1960","Cranberries fresh","Waste","0.08"
"1960","Dates fresh","Total supply","64.47"
"1960","Dates fresh","Imports","64.47"
"1960","Dates fresh","Total disposition","64.47"
"1960","Dates fresh","Domestic disappearance","64.47"
"1960","Figs fresh","Total supply","8.75"
"1960","Figs fresh","Imports","8.75"
"1960","Figs fresh","Total disposition","8.75"
"1960","Figs fresh","Domestic disappearance","8.75"
"1960","Grapes fresh","Total supply","129.46"
"1960","Grapes fresh","Production","51.33"
"1960","Grapes fresh","Imports","78.13"
"1960","Grapes fresh","Total disposition","129.46"
"1960","Grapes fresh","Domestic disappearance","78.66"
"1960","Grapes fresh","Exports","7.23"
"1960","Grapes fresh","Manufacturing","35.79"
"1960","Grapes fresh","Waste","7.78"
"1960","Grape juice","Total disposition",
"1960","Guavas and mangoes fresh","Total disposition","0.00"
"1960","Kiwis fresh","Total disposition","0.00"
"1960","Melons, musk and cantaloups fresh","Total supply","17.17"
"1960","Melons, musk and cantaloups fresh","Imports","17.17"
"1960","Melons, musk and cantaloups fresh","Total disposition","17.17"
"1960","Melons, musk and cantaloups fresh","Domestic disappearance","15.49"
"1960","Melons, musk and cantaloups fresh","Waste","1.68"
"1960","Other fresh melons","Total supply","71.53"
"1960","Other fresh melons","Production","2.49"
"1960","Other fresh melons","Imports","69.04"
"1960","Other fresh melons","Total disposition","71.53"
"1960","Other fresh melons","Domestic disappearance","64.52"
"1960","Other fresh melons","Waste","7.01"
"1960","Watermelons fresh","Total disposition","0.00"
"1960","Wintermelons fresh","Total disposition","0.00"
"1960","Melons total fresh","Total supply","88.70"
"1960","Melons total fresh","Production","2.49"
"1960","Melons total fresh","Imports","86.21"
"1960","Melons total fresh","Total disposition","88.70"
"1960","Melons total fresh","Domestic disappearance","80.01"
"1960","Melons total fresh","Waste","8.69"
"1960","Nectarines fresh","Total supply","0.91"
"1960","Nectarines fresh","Imports","0.91"
"1960","Nectarines fresh","Total disposition","0.91"
"1960","Nectarines fresh","Domestic disappearance","0.86"
"1960","Nectarines fresh","Waste","0.05"
"1960","Papayas fresh","Total disposition","0.00"
"1960","Peaches fresh","Total supply","75.92"
"1960","Peaches fresh","Production","53.57"
"1960","Peaches fresh","Imports","22.35"
"1960","Peaches fresh","Total disposition","75.92"
"1960","Peaches fresh","Domestic disappearance","44.79"
"1960","Peaches fresh","Manufacturing","28.02"
"1960","Peaches fresh","Waste","3.11"
"1960","Peaches canned","Total supply","53.95"
"1960","Peaches canned","Beginning stocks","18.74"
"1960","Peaches canned","Production","22.96"
"1960","Peaches canned","Imports","12.25"
"1960","Peaches canned","Total disposition","33.40"
"1960","Peaches canned","Domestic disappearance","33.15"
"1960","Peaches canned","Exports","0.25"
"1960","Peaches canned","Ending stocks","20.55"
"1960","Pears fresh","Total supply","48.96"
"1960","Pears fresh","Beginning stocks","1.11"
"1960","Pears fresh","Production","35.69"
"1960","Pears fresh","Imports","12.16"
"1960","Pears fresh","Total disposition","47.10"
"1960","Pears fresh","Domestic disappearance","23.64"
"1960","Pears fresh","Exports","0.86"
"1960","Pears fresh","Manufacturing","21.09"
"1960","Pears fresh","Waste","1.51"
"1960","Pears fresh","Ending stocks","1.86"
"1960","Pears canned","Total supply","30.85"
"1960","Pears canned","Beginning stocks","12.96"
"1960","Pears canned","Production","15.77"
"1960","Pears canned","Imports","2.12"
"1960","Pears canned","Total disposition","13.87"
"1960","Pears canned","Domestic disappearance","13.62"
"1960","Pears canned","Exports","0.25"
"1960","Pears canned","Ending stocks","16.98"
"1960","Pineapples fresh","Total supply","3.54"
"1960","Pineapples fresh","Imports","3.54"
"1960","Pineapples fresh","Total disposition","3.54"
"1960","Pineapples fresh","Domestic disappearance","3.36"
"1960","Pineapples fresh","Waste","0.18"
"1960","Pineapples canned","Total supply","16.63"
"1960","Pineapples canned","Imports","16.63"
"1960","Pineapples canned","Total disposition","16.63"
"1960","Pineapples canned","Domestic disappearance","16.63"
"1960","Pineapple juice","Total supply","7.45"
"1960","Pineapple juice","Imports","7.45"
"1960","Pineapple juice","Total disposition","7.45"
"1960","Pineapple juice","Domestic disappearance","7.45"
"1960","Plums total fresh","Total supply","18.43"
"1960","Plums total fresh","Production","10.60"
"1960","Plums total fresh","Imports","7.83"
"1960","Plums total fresh","Total disposition","18.43"
"1960","Plums total fresh","Domestic disappearance","14.73"
"1960","Plums total fresh","Manufacturing","2.83"
"1960","Plums total fresh","Waste","0.87"
"1960","Quinces fresh","Total disposition","0.00"
"1960","Raspberries frozen","Total supply","6.30"
"1960","Raspberries frozen","Beginning stocks","2.55"
"1960","Raspberries frozen","Production","3.35"
"1960","Raspberries frozen","Imports","0.40"
"1960","Raspberries frozen","Total disposition","4.20"
"1960","Raspberries frozen","Domestic disappearance","4.20"
"1960","Raspberries frozen","Ending stocks","2.10"
"1960","Strawberries fresh","Total supply","23.64"
"1960","Strawberries fresh","Production","15.36"
"1960","Strawberries fresh","Imports","8.28"
"1960","Strawberries fresh","Total disposition","23.64"
"1960","Strawberries fresh","Domestic disappearance","13.99"
"1960","Strawberries fresh","Manufacturing","8.42"
"1960","Strawberries fresh","Waste","1.23"
"1960","Strawberries canned","Total supply","2.25"
"1960","Strawberries canned","Beginning stocks","0.74"
"1960","Strawberries canned","Production","1.51"
"1960","Strawberries canned","Total disposition","1.46"
"1960","Strawberries canned","Domestic disappearance","1.46"
"1960","Strawberries canned","Ending stocks","0.79"
"1960","Strawberries frozen","Total supply","12.50"
"1960","Strawberries frozen","Beginning stocks","4.54"
"1960","Strawberries frozen","Production","4.46"
"1960","Strawberries frozen","Imports","3.50"
"1960","Strawberries frozen","Total disposition","7.18"
"1960","Strawberries frozen","Domestic disappearance","7.18"
"1960","Strawberries frozen","Ending stocks","5.32"
"1960","Fruits not specified fresh","Total supply","0.73"
"1960","Fruits not specified fresh","Production","0.73"
"1960","Fruits not specified fresh","Total disposition","0.73"
"1960","Fruits not specified fresh","Domestic disappearance","0.68"
"1960","Fruits not specified fresh","Waste","0.05"
"1960","Fruits not specified canned","Total supply","14.36"
"1960","Fruits not specified canned","Beginning stocks","5.98"
"1960","Fruits not specified canned","Production","8.38"
"1960","Fruits not specified canned","Total disposition","0.00"
"1960","Fruits not specified canned","Ending stocks","5.25"
"1960","Fruits not specified dried","Total supply","42.73"
"1960","Fruits not specified dried","Imports","42.73"
"1960","Fruits not specified dried","Total disposition","42.73"
"1960","Fruits not specified dried","Domestic disappearance","42.60"
"1960","Fruits not specified dried","Exports","0.13"
"1960","Fruits not specified frozen","Total supply","3.15"
"1960","Fruits not specified frozen","Beginning stocks","1.70"
"1960","Fruits not specified frozen","Production","0.33"
"1960","Fruits not specified frozen","Imports","1.12"
"1960","Fruits not specified frozen","Total disposition","1.78"
"1960","Fruits not specified frozen","Domestic disappearance","1.38"
"1960","Fruits not specified frozen","Exports","0.40"
"1960","Fruits not specified frozen","Ending stocks","1.37"
"1960","Oranges fresh","Total supply","186.01"
"1960","Oranges fresh","Imports","186.01"
"1960","Oranges fresh","Total disposition","186.01"
"1960","Oranges fresh","Domestic disappearance","180.43"
"1960","Oranges fresh","Waste","5.58"
"1960","Orange juice","Total supply","82.31"
"1960","Orange juice","Imports","82.31"
"1960","Orange juice","Total disposition","82.31"
"1960","Orange juice","Domestic disappearance","82.31"
"1960","Lemons fresh","Total supply","14.55"
"1960","Lemons fresh","Imports","14.55"
"1960","Lemons fresh","Total disposition","14.55"
"1960","Lemons fresh","Domestic disappearance","13.97"
"1960","Lemons fresh","Waste","0.58"
"1960","Lemon juice","Total supply","11.31"
"1960","Lemon juice","Imports","11.31"
"1960","Lemon juice","Total disposition","11.31"
"1960","Lemon juice","Domestic disappearance","11.31"
"1960","Grapefruits fresh","Total supply","60.17"
"1960","Grapefruits fresh","Imports","60.17"
"1960","Grapefruits fresh","Total disposition","60.17"
"1960","Grapefruits fresh","Domestic disappearance","58.30"
"1960","Grapefruits fresh","Waste","1.87"
"1960","Grapefruit juice","Total supply","11.19"
"1960","Grapefruit juice","Imports","11.19"
"1960","Grapefruit juice","Total disposition","11.19"
"1960","Grapefruit juice","Domestic disappearance","11.19"
"1960","Limes fresh","Total disposition",
"1960","Mandarins fresh","Total disposition",
"1960","Other citrus fresh","Total disposition",
"1960","Artichokes fresh","Total disposition",
"1960","Asparagus fresh","Total supply","5.40"
"1960","Asparagus fresh","Production","3.16"
"1960","Asparagus fresh","Imports","2.24"
"1960","Asparagus fresh","Total disposition","5.40"
"1960","Asparagus fresh","Domestic disappearance","2.84"
"1960","Asparagus fresh","Manufacturing","2.28"
"1960","Asparagus fresh","Waste","0.28"
"1960","Asparagus canned","Total supply","4.37"
"1960","Asparagus canned","Beginning stocks","1.15"
"1960","Asparagus canned","Production","2.41"
"1960","Asparagus canned","Imports","0.81"
"1960","Asparagus canned","Total disposition","3.11"
"1960","Asparagus canned","Domestic disappearance","3.11"
